Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,2,150,3,Some Random Commen with Id 0
1,0,2,12,3,Some Random Commen with Id 1
2,0,2,48,9,Some Random Commen with Id 2
3,0,2,33,0,Some Random Commen with Id 3
4,0,2,190,5,Some Random Commen with Id 4
5,0,2,121,2,Some Random Commen with Id 5
6,1,7,81,9,Some Random Commen with Id 6
7,1,7,70,4,Some Random Commen with Id 7
8,1,7,28,1,Some Random Commen with Id 8
9,2,2,157,9,Some Random Commen with Id 9
10,2,2,79,4,Some Random Commen with Id 10
11,2,2,185,8,Some Random Commen with Id 11
12,2,2,87,2,Some Random Commen with Id 12
13,2,2,190,7,Some Random Commen with Id 13
14,2,2,8,5,Some Random Commen with Id 14
15,3,2,17,8,Some Random Commen with Id 15
16,3,2,167,2,Some Random Commen with Id 16
17,3,2,4,1,Some Random Commen with Id 17
18,3,2,126,1,Some Random Commen with Id 18
19,3,2,68,3,Some Random Commen with Id 19
20,3,2,171,4,Some Random Commen with Id 20
21,4,7,159,1,Some Random Commen with Id 21
22,4,7,162,8,Some Random Commen with Id 22
23,4,7,9,7,Some Random Commen with Id 23
24,4,7,149,1,Some Random Commen with Id 24
25,4,7,171,0,Some Random Commen with Id 25
26,4,7,182,8,Some Random Commen with Id 26
27,4,7,10,9,Some Random Commen with Id 27
28,4,7,129,3,Some Random Commen with Id 28
29,4,7,168,3,Some Random Commen with Id 29
30,5,7,39,0,Some Random Commen with Id 30
31,5,7,184,7,Some Random Commen with Id 31
32,5,7,100,1,Some Random Commen with Id 32
33,5,7,177,8,Some Random Commen with Id 33
34,5,7,37,2,Some Random Commen with Id 34
35,5,7,22,5,Some Random Commen with Id 35
36,5,7,184,2,Some Random Commen with Id 36
37,5,7,146,3,Some Random Commen with Id 37
38,5,7,130,2,Some Random Commen with Id 38
39,6,8,105,7,Some Random Commen with Id 39
40,6,8,29,4,Some Random Commen with Id 40
41,6,8,143,8,Some Random Commen with Id 41
42,6,8,30,8,Some Random Commen with Id 42
43,6,8,131,4,Some Random Commen with Id 43
44,6,8,167,2,Some Random Commen with Id 44
45,7,5,36,4,Some Random Commen with Id 45
46,7,5,94,2,Some Random Commen with Id 46
47,7,5,41,8,Some Random Commen with Id 47
48,7,5,162,8,Some Random Commen with Id 48
49,9,3,91,9,Some Random Commen with Id 49
50,9,3,3,3,Some Random Commen with Id 50
51,9,3,122,2,Some Random Commen with Id 51
52,9,3,54,7,Some Random Commen with Id 52
53,9,3,122,0,Some Random Commen with Id 53
54,10,1,83,9,Some Random Commen with Id 54
55,10,1,187,4,Some Random Commen with Id 55
56,10,1,139,4,Some Random Commen with Id 56
57,10,1,158,9,Some Random Commen with Id 57
58,10,1,92,8,Some Random Commen with Id 58
59,10,1,10,7,Some Random Commen with Id 59
60,10,1,191,7,Some Random Commen with Id 60
61,11,7,140,3,Some Random Commen with Id 61
62,12,4,104,6,Some Random Commen with Id 62
